Datum und Uhrzeit,Gesamt Erzeugung,Gesamt Verbrauch,Eigenverbrauch,Energie ins Netz eingespeist,Energie vom Netz bezogen
01.01.2022,37769.679  ,60146.1156 ,40573.7314 ,8941.00   ,19573.00   
02.01.2022,42676.9461 ,61008.3161 ,41383.7862 , 336.00   ,19625.00   
03.01.2022,26980.6212 ,57827.1647 ,26514.6107 , 174.00   ,31313.00   
04.01.2022,23638.9627 ,75568.415  ,23281.415  , 110.00   ,52287.00   
05.01.2022,13616.9269 ,58681.9433 ,13563.9433 ,  35.00   ,45118.00   
06.01.2022,23987.79   ,54333.2258 ,22513.3505 ,1456.00   ,31820.00   
07.01.2022,4123.8119 ,87970.3311 ,4124.3311 ,   0.00   ,83846.00   
08.01.2022,5153.7556 ,84110.4753 ,5152.4753 ,   2.00   ,78958.00   
09.01.2022,16750.6311 ,72939.5867 ,16382.5867 ,  55.00   ,56557.00   
10.01.2022,15057.4345 ,85282.2492 ,14967.2492 ,  14.00   ,70315.00   
11.01.2022,17378.7575 ,107150.1136 ,17155.1136 ,   3.00   ,89995.00   
12.01.2022,39783.6011 ,92243.7147 ,39020.911  , 543.00   ,53223.00   
13.01.2022,48350.8589 ,73385.0358 ,44701.1883 ,1518.00   ,28684.00   
14.01.2022,58408.03   ,73166.8928 ,45798.1997 ,10873.00   ,27369.00   
15.01.2022,55798.6111 ,67611.0181 ,46801.3661 ,7556.00   ,20810.00   
16.01.2022,36048.6559 ,64018.3339 ,35323.6941 , 292.00   ,28695.00   
17.01.2022,11792.5014 ,108693.6147 ,11727.6147 ,  13.00   ,96966.00   
18.01.2022,23045.9886 ,123731.4531 ,23014.453  ,  20.00   ,100717.00   
19.01.2022,31375.3542 ,129196.7192 ,30857.7192 ,  71.00   ,98339.00   
20.01.2022,21332.2305 ,86053.9419 ,21208.9419 , 194.00   ,64845.00   
21.01.2022,3194.7283 ,111805.2919 ,3198.2919 ,   1.00   ,108607.00   
22.01.2022,12763.9656 ,90116.585  ,12736.585  ,  29.00   ,77380.00   
23.01.2022,18524.4914 ,99650.5922 ,18103.1914 ,  61.00   ,81559.00   
24.01.2022,58654.7633 ,99171.5844 ,56960.9059 ,1100.00   ,42211.00   
25.01.2022,24348.16   ,84948.5397 ,24318.5397 ,  17.00   ,60630.00   
26.01.2022,41643.9167 ,108381.9303 ,40058.1337 , 920.00   ,68324.00   
27.01.2022,71917.6664 ,93584.2919 ,65780.6896 ,4173.00   ,27804.00   
28.01.2022,25946.1495 ,91789.3228 ,25248.3228 , 901.00   ,66541.00   
29.01.2022,23721.1939 ,57004.3497 ,24818.3497 ,  51.00   ,32186.00   
30.01.2022,23238.8524 ,65216.533  ,19639.0767 , 118.1295 ,45592.9923 
31.01.2022,17558.8228 ,131329.8406 ,17549.8405 ,  15.00   ,113780.00   
01.02.2022,3563.8194 ,123893.7656 ,3106.0697 ,   0.00   ,120794.00   
02.02.2022,21429.4564 ,97451.8117 ,21361.8117 ,  78.00   ,76090.00   
03.02.2022,59890.2937 ,100758.3256 ,48377.139  ,9835.00   ,52382.00   
04.02.2022,62127.6256 ,96038.2467 ,59271.4891 ,1828.00   ,36767.00   
05.02.2022,76786.0291 ,78667.5303 ,59220.9144 ,15524.00   ,19447.00   
06.02.2022,76723.1103 ,75702.4169 ,55149.6801 ,21418.00   ,20553.00   
07.02.2022,22738.2234 ,91115.5689 ,22529.5689 ,  67.00   ,68586.00   
08.02.2022,38949.7539 ,89991.3364 ,38436.3364 , 557.00   ,51555.00   
09.02.2022,93302.5072 ,70527.1889 ,55569.3886 ,35577.00   ,14958.00   
10.02.2022,93373.7741 ,64754.8342 ,53730.8342 ,38069.00   ,11024.00   
11.02.2022,38133.8867 ,76196.7336 ,37433.2832 , 533.00   ,38764.00   
12.02.2022,99048.4439 ,88575.8608 ,76542.1063 ,21897.00   ,12034.00   
13.02.2022,100154.7928 ,70743.1978 ,60082.4211 ,39674.00   ,10661.00   
14.02.2022,102422.2733 ,82093.3136 ,61272.5296 ,39764.00   ,20821.00   
15.02.2022,17884.1408 ,88380.4214 ,17852.4213 ,  23.00   ,70528.00   
16.02.2022,96699.6617 ,79257.5719 ,61081.9686 ,33935.00   ,18176.00   
