time,RR [kg m-2],SA [s],TN [degree_Celsius],TX [degree_Celsius],lat,lon
2022-01-01T00:00+00:00,0.0,6120.0,7.3,12.5,47.996002,14.21127
2022-01-02T00:00+00:00,0.0,7920.0,-0.2,8.1,47.996002,14.21127
2022-01-03T00:00+00:00,1.5,0.0,1.0,11.6,47.996002,14.21127
2022-01-04T00:00+00:00,3.2,0.0,6.6,10.5,47.996002,14.21127
2022-01-05T00:00+00:00,4.6,0.0,1.4,11.9,47.996002,14.21127
2022-01-06T00:00+00:00,1.6,360.0,-0.3,2.6,47.996002,14.21127
2022-01-07T00:00+00:00,0.6,6120.0,-3.6,0.4,47.996002,14.21127
2022-01-08T00:00+00:00,0.0,3240.0,-4.0,2.2,47.996002,14.21127
2022-01-09T00:00+00:00,0.5,720.0,-2.5,3.7,47.996002,14.21127
2022-01-10T00:00+00:00,2.3,0.0,0.6,2.7,47.996002,14.21127
2022-01-11T00:00+00:00,0.0,360.0,-1.4,1.7,47.996002,14.21127
2022-01-12T00:00+00:00,0.0,7920.0,-5.8,-0.7,47.996002,14.21127
2022-01-13T00:00+00:00,0.0,7560.0,-4.0,0.4,47.996002,14.21127
2022-01-14T00:00+00:00,0.0,25200.0,-3.8,3.7,47.996002,14.21127
2022-01-15T00:00+00:00,0.0,25560.0,-2.6,3.3,47.996002,14.21127
2022-01-16T00:00+00:00,0.0,11160.0,-3.0,1.6,47.996002,14.21127
2022-01-17T00:00+00:00,0.9,0.0,0.9,4.7,47.996002,14.21127
2022-01-18T00:00+00:00,0.0,0.0,1.5,3.8,47.996002,14.21127
2022-01-19T00:00+00:00,0.4,2520.0,-3.6,2.1,47.996002,14.21127
2022-01-20T00:00+00:00,2.6,0.0,-2.5,3.9,47.996002,14.21127
2022-01-21T00:00+00:00,1.4,6840.0,-3.7,0.7,47.996002,14.21127
2022-01-22T00:00+00:00,3.7,0.0,-1.2,1.6,47.996002,14.21127
2022-01-23T00:00+00:00,0.1,0.0,0.9,3.0,47.996002,14.21127
2022-01-24T00:00+00:00,0.0,2520.0,0.9,5.4,47.996002,14.21127
2022-01-25T00:00+00:00,0.0,0.0,-2.0,1.4,47.996002,14.21127
