Date,Time,System Setting,System Mode,Calendar Event,Program Mode,Cool Set Temp (F),Heat Set Temp (F),Current Temp (F),Current Humidity (%RH),Outdoor Temp (F),Wind Speed (km/h),Cool Stage 1 (sec),Heat Stage 1 (sec),Fan (sec),DM Offset,Thermostat Temperature (F),Thermostat Humidity (%RH),Thermostat Motion,Thermostat AirQualityAccuracy,Thermostat AirQuality,Thermostat VOCppm,Thermostat CO2ppm,Thermostat AirPressure,Kitchen (F),Kitchen2,Bedroom (F),Bedroom2,Kids' Room (F),Kids' Room2,Bathroom (F),Bathroom2,Living Room (F),Living Room2,Back Door (contact),Front Door (contact)
2023-10-01,01:00:00,auto,heatOff,,Sleep,73,63,67.1,67,54.3,0,0,0,0,,68.7,67,0,4,86,1278,870,101553,70,1,68.4,1,65.9,0,69,0,69.6,1,1,1,
2023-10-01,01:05:00,auto,heatOff,,Sleep,73,63,67.3,67,54.3,0,0,0,0,,68.7,67,0,4,88,1326,894,101547,70,0,68.5,1,65.9,0,69,0,69.6,1,1,1,
2023-10-01,01:10:00,auto,heatOff,,Sleep,73,63,67.3,67,54.3,0,0,0,0,0.1,68.7,67,0,4,91,1372,917,101541,70,0,68.4,0,65.9,0,68.9,0,69.6,0,1,1,
2023-10-01,01:15:00,auto,heatOff,,Sleep,73,63,67.4,67,54.3,0,0,0,0,0.1,68.5,67,0,4,92,1403,932,101549,70,0,68.4,0,65.8,0,68.9,0,69.6,0,1,1,
2023-10-01,01:20:00,auto,heatOff,,Sleep,73,63,67.7,67,54.3,0,0,0,0,0.1,68.5,67,0,4,92,1399,930,101554,70,0,68.4,0,65.8,0,68.9,0,69.6,0,1,1,
2023-10-01,01:25:00,auto,heatOff,,Sleep,73,63,68.1,68,54.3,0,0,0,0,0.1,68.4,68,0,4,92,1399,930,101555,69.9,0,68.4,0,65.8,0,68.8,0,69.6,0,1,1,
2023-10-01,01:30:00,auto,heatOff,,Sleep,73,63,68.2,69,53.8,0,0,0,0,0.1,68.4,69,0,4,91,1386,924,101549,69.9,0,68.3,0,65.8,0,68.8,0,69.6,0,1,1,
2023-10-01,01:35:00,auto,heatOff,,Sleep,73,63,68.1,69,53.8,0,0,0,0,0.1,68.3,69,0,4,91,1379,921,101544,69.9,0,68.3,0,65.8,0,68.7,0,69.5,0,1,1,
2023-10-01,01:40:00,auto,heatOff,,Sleep,73,63,67.8,69,53.8,0,0,0,0,0.1,68.3,69,0,4,90,1351,907,101542,69.9,0,68.3,0,65.8,0,68.7,0,69.5,0,1,1,
2023-10-01,01:45:00,auto,heatOff,,Sleep,73,63,67.6,69,53.8,0,0,0,0,,68.3,69,0,4,89,1335,899,101539,69.9,0,68.3,0,65.9,0,68.6,0,69.5,0,1,1,
2023-10-01,01:50:00,auto,heatOff,,Sleep,73,63,67.5,69,53.8,0,0,0,0,,68.3,69,0,4,88,1318,891,101550,69.8,0,68.3,0,65.9,0,68.6,0,69.5,0,1,1,
2023-10-01,01:55:00,auto,heatOff,,Sleep,73,63,67.4,69,53.8,0,0,0,0,,68.3,69,0,4,87,1299,881,101552,69.8,0,68.3,1,65.8,0,68.6,0,69.5,0,1,1,
2023-10-01,02:00:00,auto,heatOff,,Sleep,73,63,67.4,69,53.2,0,0,0,0,,68.3,69,0,4,86,1273,868,101545,69.8,0,68.3,1,65.8,0,68.6,0,69.5,0,1,1,
2023-10-01,02:05:00,auto,heatOff,,Sleep,73,63,67.5,69,53.2,0,0,0,0,,68.3,69,0,4,85,1253,857,101530,69.8,0,68.3,0,65.9,0,68.6,0,69.5,0,1,1,
2023-10-01,02:10:00,auto,heatOff,,Sleep,73,63,67.8,69,53.2,0,0,0,0,,68.3,69,0,4,84,1235,848,101530,69.8,0,68.3,0,65.8,0,68.5,0,69.5,0,1,1,
2023-10-01,02:15:00,auto,heatOff,,Sleep,73,63,68,69,53.2,0,0,0,0,0.1,68.3,69,0,4,83,1210,834,101531,69.9,0,68.3,0,65.8,0,68.5,0,69.6,0,1,1,
2023-10-01,02:20:00,auto,heatOff,,Sleep,73,63,68.1,69,53.2,0,0,0,0,0.1,68.3,69,0,4,82,1194,825,101525,69.9,0,68.3,0,65.8,0,68.5,0,69.6,0,1,1,
2023-10-01,02:25:00,auto,heatOff,,Sleep,73,63,68.1,69,53.2,0,0,0,0,0.1,68.2,69,0,4,81,1173,814,101519,69.8,0,68.3,0,65.8,0,68.5,0,69.6,0,1,1,
2023-10-01,02:30:00,auto,heatOff,,Sleep,73,63,67.9,68,53.1,0,0,0,0,0.2,68.2,68,0,4,80,1156,804,101515,69.8,0,68.3,0,65.8,0,68.5,0,69.5,0,1,1,
2023-10-01,02:35:00,auto,heatOff,,Sleep,73,63,67.8,69,53.1,0,0,0,0,0.1,68.1,69,0,4,79,1146,798,101517,69.8,0,68.3,0,65.8,0,68.4,0,69.5,0,1,1,
2023-10-01,02:40:00,auto,heatOff,,Sleep,73,63,67.6,69,53.1,0,0,0,0,,68.1,69,0,4,78,1136,792,101514,69.7,0,68.3,0,65.9,0,68.3,0,69.5,0,1,1,
2023-10-01,02:45:00,auto,heatOff,,Sleep,73,63,67.5,70,53.1,0,0,0,0,,68,70,0,4,77,1119,783,101508,69.7,0,68.3,0,65.8,0,68.3,0,69.5,0,1,1,
2023-10-01,02:50:00,auto,heatOff,,Sleep,73,63,67.3,70,53.1,0,0,0,0,,68,70,0,4,76,1104,774,101505,69.7,0,68.3,0,65.8,0,68.4,0,69.5,0,1,1,
2023-10-01,02:55:00,auto,heatOff,,Sleep,73,63,67.2,70,53.1,0,0,0,0,-0.1,68,70,0,4,76,1091,766,101506,69.7,0,68.3,0,65.8,0,68.4,0,69.4,0,1,1,
2023-10-01,03:00:00,auto,heatOff,,Sleep,73,63,67.2,70,52.8,0,0,0,0,-0.1,68,70,0,4,75,1075,756,101509,69.7,0,68.3,0,65.8,0,68.3,0,69.4,0,1,1,
2023-10-01,03:05:00,auto,heatOff,,Sleep,73,63,67.2,70,52.8,0,0,0,0,-0.2,67.9,70,0,4,74,1058,746,101506,69.7,0,68.3,0,65.8,0,68.3,0,69.4,0,1,1,
