time,station,nebel,gewitter,glatteis,niederschlag_24h_summe,niederschlagsart_24h,gesamtschneehoehe,schneeart,neuschneehoehe,sonnenscheindauer,sichtweite,tlmax,tlmin,windgeschw_mittel,substation
2022-01-01T00:00+00:00,204,0,0,0,-0.1,0,,0,-1,2.3,15000,12.7,7.8,4.5,5012
2022-01-02T00:00+00:00,204,1,0,0,-0.1,0,,0,-1,3.1,100,8.5,-0.3,1,5012
2022-01-03T00:00+00:00,204,0,0,0,1.3,1,,0,-1,0,10000,12,0.5,6.7,5012
2022-01-04T00:00+00:00,204,0,0,0,3.3,1,,0,-1,0,2200,10.3,6.8,3.2,5012
2022-01-05T00:00+00:00,204,0,0,0,4.9,5,,0,-1,0,5000,13,1.9,5.9,5012
2022-01-06T00:00+00:00,204,0,0,0,1.8,5,,0,-1,0.7,4000,2.8,0.4,6.7,5012
2022-01-07T00:00+00:00,204,1,0,0,0.6,2,,2,0,0.7,100,0.8,-3.3,1.5,5012
2022-01-08T00:00+00:00,204,1,0,0,0,2,,3,1,1.1,1000,2.3,-4.2,4.5,5012
2022-01-09T00:00+00:00,204,0,0,0,0.5,5,,2,0,0.3,20000,3.6,-2.6,3.8,5012
2022-01-10T00:00+00:00,204,0,0,0,2.3,5,,0,-1,0,10000,2.9,1,4.5,5012
2022-01-11T00:00+00:00,204,0,0,0,-0.1,0,,0,-1,0.8,5000,1.9,-0.9,1,5012
2022-01-12T00:00+00:00,204,0,0,0,-0.1,0,,0,-1,1.3,6000,-0.4,-5,1.5,5012
2022-01-13T00:00+00:00,204,0,0,0,-0.1,0,,0,-1,3.6,5000,0.6,-4.1,2.1,5012
2022-01-14T00:00+00:00,204,0,0,0,-0.1,0,,0,-1,7.3,5000,4,-3.4,2.6,5012
2022-01-15T00:00+00:00,204,0,0,0,-0.1,0,,0,-1,7.8,1500,3.5,-2.2,2.1,5012
2022-01-16T00:00+00:00,204,1,0,0,0,5,,0,-1,3.3,500,2,-2,2.1,5012
2022-01-17T00:00+00:00,204,0,0,0,0.8,1,,0,-1,0,6000,5.1,1.2,8.4,5012
2022-01-18T00:00+00:00,204,0,0,0,0,1,,0,-1,0,10000,4.1,1.9,2.6,5012
2022-01-19T00:00+00:00,204,1,0,0,0.5,5,,0,-1,0,4500,2,-3.3,1.5,5012
2022-01-20T00:00+00:00,204,0,0,0,2.4,2,,0,-1,0.1,800,4,-2.6,7.5,5012
2022-01-21T00:00+00:00,204,0,0,0,1,2,,3,2,3.7,6000,1,-3.5,6.7,5012
2022-01-22T00:00+00:00,204,0,0,0,3,5,,3,5,0,2500,1.7,-1,8.4,5012
2022-01-23T00:00+00:00,204,0,0,0,0.1,1,,2,-1,0,2000,3.2,1.1,5.2,5012
2022-01-24T00:00+00:00,204,1,0,0,-0.1,0,,0,-1,2.1,2500,5.2,1.4,1.5,5012
2022-01-25T00:00+00:00,204,1,0,0,-0.1,0,,0,-1,0,100,1.6,-2.1,2.6,5012
2022-01-26T00:00+00:00,204,0,0,0,-0.1,0,,0,-1,0.7,1500,2.6,-1,2.1,5012
2022-01-27T00:00+00:00,204,0,0,0,6.7,1,,0,-1,7.6,5000,6.7,-0.8,4.5,5012
2022-01-28T00:00+00:00,204,0,0,0,0.4,5,,0,-1,0.6,10000,4,0.3,8.4,5012
2022-01-29T00:00+00:00,204,0,0,0,0.5,1,,0,-1,0,10000,6.6,1.5,7.5,5012
